"koutb","koutn","k1b","k1n","k12b","k21b","k13b","k31b","k12n","k21n","A1","B1","n","A2","B2","n2"
0.002591578,0.005236505,0.000188259,0.00152136275611603,0.002264923,0.000643514,0.002001265,0.000133426,0.005211654,0.000591009,6.708e-05,0.000193,0.5624,0.0001255,0.03384,0.883
0.002036172,0.004188427,0.000160819,0.00174655501452544,0.002285395,0.001504372,0.001647882,0.000132464,0.006247505,0.000844619,6.37e-05,0.0001946,0.5778,0.0003151,0.0655,0.8041
0.002078568,0.004390828,0.000134507,0.00177350911620256,0.001366056,0.001562433,0.002012655,0.000178535,0.006533952,0.000930852,6.672e-05,0.0001917,0.5707,0.0002201,0.05158,0.8437
0.002040069,0.004950955,0.00017348,0.00175721788020248,0.002009139,0.000890215,0.00178416,0.000131627,0.006738784,0.000754321,0.0001016,0.0001933,0.5,0.0001158,0.03436,0.8897
0.002481602,0.003947461,0.000193977,0.00160776509007435,0.001687102,0.000523322,0.001731139,0.000138141,0.005356084,0.000790468,5.691e-05,0.0001948,0.6,0.0002197,0.05243,0.8304
0.002110669,0.004233436,0.000180931,0.00174854651202353,0.001923088,0.000895909,0.00191685,0.00017296,0.007288258,0.000977625,9.836e-05,0.0001933,0.5,0.0002556,0.05284,0.8233
0.002331531,0.004703195,0.000163503,0.00162688480675316,0.002310532,0.001087775,0.00200989,0.000143611,0.007551211,0.000843314,8.748e-05,0.0001943,0.5297,0.0001075,0.0276,0.8989
0.002349093,0.004428909,0.000163603,0.00163677201845673,0.002940847,0.000716195,0.001803777,0.0001478,0.006940288,0.000836053,3.647e-05,0.0001929,0.6785,0.000174,0.04291,0.8458
0.002563212,0.004487663,0.000151397,0.00154091099681856,0.002640599,0.001771483,0.00187124,0.000129017,0.006729147,0.000740366,5.101e-05,0.0001933,0.6178,0.0001667,0.04566,0.8669
0.00190035,0.004986781,0.000190616,0.00187127286445301,0.00213634,0.001294011,0.001677976,0.000144024,0.00667953,0.00069913,5.714e-05,0.0001926,0.593,0.0002272,0.03772,0.8007
