kout,k12,k13,k21,k31,A1,B1,n,A2,B2,n2
0.002726714,0.002793255,0.003328112,0.002043898,0.00025581,3.97E-05,0.003737,0.8411,0.0001706,0.04002,0.8488
0.00200654,0.004091814,0.004143547,0.002340518,0.00022433,3.99E-05,0.003722,0.8426,0.0001903,0.04223,0.8487
0.00170013,0.002745376,0.003890054,0.002173074,0.000233775,3.85E-05,0.003531,0.8395,0.0001171,0.04133,0.9073
0.002004248,0.002646617,0.003128832,0.003003814,0.000234592,3.66E-05,0.003525,0.8503,0.0001567,0.04121,0.8736
0.001801231,0.003069157,0.003918835,0.001926037,0.000220783,3.41E-05,0.003418,0.8572,0.0001652,0.04601,0.8755
0.002452602,0.003039395,0.003364647,0.003377568,0.000203576,3.56E-05,0.003261,0.8466,0.0002289,0.05348,0.8383
0.00280535,0.003535636,0.003242812,0.002905568,0.000246173,3.36E-05,0.003648,0.8711,0.0002463,0.03908,0.7953
0.001800403,0.003362228,0.004249723,0.001658135,0.000260029,4.06E-05,0.00342,0.8264,0.0001299,0.03276,0.8758
0.002346263,0.00291102,0.003925975,0.002533048,0.000202158,3.63E-05,0.003543,0.8509,0.0001866,0.06203,0.8854
0.002402174,0.003923128,0.004353775,0.002075716,0.000274395,3.30E-05,0.003594,0.87,0.0001514,0.03888,0.8765
0.003041053,0.003171185,0.003099609,0.002165521,0.00020847,4.08E-05,0.003514,0.8308,0.0001255,0.03384,0.883
0.001487561,0.002797134,0.002863959,0.002398359,0.000243168,3.46E-05,0.003491,0.8598,0.0003151,0.0655,0.8041
0.002275641,0.002523274,0.004307664,0.002301828,0.0002224,3.68E-05,0.003354,0.8415,0.0002201,0.05158,0.8437
0.002150279,0.003724885,0.003494452,0.002187489,0.000207659,3.74E-05,0.003567,0.8482,0.0001158,0.03436,0.8897
0.002217244,0.003099527,0.003431351,0.002109565,0.000267325,3.96E-05,0.003703,0.843,0.0002197,0.05243,0.8304
0.002360896,0.002870536,0.003246297,0.002096008,0.000208758,4.79E-05,0.003559,0.8021,0.0002556,0.05284,0.8233
0.002048239,0.002748285,0.003434524,0.002070226,0.000216257,3.65E-05,0.003444,0.8439,0.0001075,0.0276,0.8989
0.001900517,0.003512034,0.004101953,0.001572794,0.000219738,4.35E-05,0.00393,0.835,0.000174,0.04291,0.8458
0.001854222,0.003317044,0.003401554,0.004751586,0.00022349,3.80E-05,0.003597,0.8461,0.0001667,0.04566,0.8669
