A2,B2,n2
2.46E-08,0.001486,1.939
1.45E-08,0.0005818,2
1.02E-07,0.001289,1.71
6.90E-08,0.001146,1.79
7.34E-08,0.001009,1.79
3.56E-08,0.00139,1.885
4.43E-08,0.002076,1.839
4.03E-08,0.001071,1.858
6.63E-08,0.000837,1.801
2.63E-08,0.0007825,1.941
1.99E-07,0.002826,1.643
9.12E-08,0.001553,1.745
2.79E-08,0.0016,1.911
3.14E-08,0.001384,1.878
2.84E-08,0.0005462,1.913
1.32E-08,0.000965,1.992
4.32E-08,0.002546,1.854
1.08E-07,0.00209,1.711
2.06E-08,0.001375,1.93
5.32E-08,0.001221,1.838
7.01E-08,0.001612,1.798
3.49E-07,0.002662,1.573
3.50E-08,0.001469,1.884
2.41E-07,0.002592,1.639
2.05E-08,0.0008322,1.951
2.02E-08,0.001615,1.957
8.82E-08,0.002662,1.775
1.52E-08,0.001056,2
2.57E-07,0.00227,1.614
2.47E-08,0.0006794,1.909
3.05E-08,0.001113,1.906
1.35E-07,0.001805,1.696
5.40E-08,0.0008972,1.809
1.66E-07,0.002581,1.675
1.48E-08,0.0009443,2
1.13E-07,0.001453,1.721
1.05E-07,0.002146,1.749
3.80E-08,0.001377,1.855
6.23E-08,0.002509,1.809
4.39E-08,0.001003,1.828
1.19E-07,0.001461,1.706
4.22E-08,0.001234,1.83
2.49E-08,0.0007996,1.898
2.89E-08,0.0009583,1.884
1.39E-07,0.001618,1.687
1.87E-08,0.001185,1.977
2.95E-08,0.000892,1.881
9.26E-08,0.002099,1.744
1.50E-07,0.002259,1.705
9.64E-08,0.001377,1.743
3.62E-08,0.0009121,1.871
4.27E-08,0.001862,1.858
2.62E-08,0.0007776,1.893
9.71E-08,0.001252,1.767
7.77E-08,0.001462,1.788
1.46E-08,0.001064,1.987
3.59E-08,0.0007359,1.892
1.67E-07,0.002879,1.66
1.51E-07,0.001363,1.664
6.85E-08,0.001525,1.773
4.13E-08,0.001042,1.882
3.08E-08,0.001934,1.89
6.13E-08,0.001209,1.787
4.32E-07,0.002726,1.551
4.77E-08,0.001704,1.833
4.60E-08,0.001728,1.828
4.96E-08,0.001465,1.853
1.69E-08,0.001174,1.993
3.91E-08,0.0008147,1.861
1.95E-07,0.00165,1.639
7.38E-08,0.001333,1.781
6.01E-08,0.001297,1.809
2.73E-08,0.0007322,1.904
5.37E-08,0.001492,1.817
2.08E-07,0.002174,1.641
2.85E-07,0.00146,1.593
3.19E-08,0.001296,1.885
