A1,B1,n
0.0001174,0.03128,0.8885
0.0002448,0.05795,0.8314
0.0001899,0.04029,0.8451
0.000139,0.04813,0.9038
0.0001677,0.04812,0.8808
0.0001378,0.03307,0.8837
0.0002334,0.0479,0.8301
0.0001181,0.03235,0.8871
9.087e-05,0.02549,0.9174
6.423e-05,0.02269,0.9577
0.0002305,0.04162,0.8215
0.0002132,0.04031,0.8376
0.0002318,0.04798,0.8272
0.0001483,0.03273,0.862
0.0001039,0.02787,0.9015
0.0002431,0.04903,0.822
0.0001704,0.03394,0.8404
0.0001378,0.03679,0.8752
0.0001863,0.03934,0.8425
7.314e-05,0.02746,0.9434
0.0001444,0.03347,0.8601
0.0001215,0.0279,0.8757
0.0001325,0.04793,0.9065
0.0002843,0.04039,0.7785
0.000176,0.04167,0.8559
0.0002341,0.04161,0.8061
0.0001588,0.03129,0.8544
8.71e-05,0.02374,0.9156
0.0001575,0.03346,0.8503
0.0003277,0.04514,0.79
0.0002219,0.04324,0.8233
0.0002156,0.04228,0.8232
0.0001118,0.03612,0.9195
0.00021,0.03854,0.8207
