Kon,Koff,n
7.113e-06,0.002122,0.7183
9.239e-06,0.001787,0.6667
5.54e-06,0.002377,0.7605
8.161e-06,0.002273,0.7137
7.592e-06,0.002563,0.7383
8.69e-06,0.002096,0.7
3.77e-06,0.002094,0.8191
5.71e-06,0.002244,0.762
1.354e-05,0.001858,0.6153
1.155e-05,0.001842,0.6399
1.235e-05,0.002183,0.6497
9.599e-06,0.001852,0.6516
5.867e-06,0.002274,0.7589
2.288e-05,0.002162,0.5596
3.354e-06,0.002079,0.8198
1.108e-05,0.0023,0.6648
1.075e-05,0.002211,0.6783
8.122e-06,0.001895,0.691
1.361e-05,0.001859,0.6131
6.028e-06,0.001962,0.7464
1.579e-05,0.002225,0.6119
3.071e-06,0.002254,0.8481
9.484e-06,0.001758,0.6609
1.486e-05,0.00202,0.6107
6.065e-06,0.002416,0.755
4.684e-06,0.002149,0.7699
1.674e-05,0.002154,0.6056
5.269e-06,0.002264,0.7731
9.971e-06,0.001771,0.6388
1.048e-05,0.002208,0.668
2.862e-06,0.002144,0.8641
3.574e-06,0.00207,0.8149
3.809e-06,0.001815,0.7967
3.129e-05,0.001997,0.5
3.422e-05,0.002111,0.5
6.99e-06,0.00203,0.7095
3.758e-06,0.002335,0.8221
3.752e-06,0.001983,0.8126
1.64e-05,0.002883,0.6328
5.906e-06,0.002044,0.7431
1.006e-05,0.002061,0.6742
1.126e-05,0.001989,0.6417
4.487e-06,0.001974,0.7734
4.378e-06,0.002282,0.7875
6.481e-06,0.002164,0.7371
3.299e-06,0.002127,0.8306
1.165e-05,0.002604,0.6661
8.075e-06,0.001826,0.6926
6.046e-06,0.001761,0.7286
1.503e-05,0.0018,0.616
3.86e-06,0.001894,0.796
6.79e-06,0.002565,0.753
6.464e-06,0.002179,0.7348
3.27e-06,0.002013,0.817
5.892e-06,0.002121,0.7553
7.869e-06,0.001495,0.6767
8.684e-06,0.001932,0.6819
1.087e-05,0.002592,0.6851
1.265e-05,0.002178,0.6492
6.81e-06,0.002043,0.7228
1.478e-05,0.001879,0.6116
3.976e-06,0.002683,0.8293
1.064e-05,0.002041,0.6595
7.326e-06,0.002032,0.7088
6.679e-06,0.001975,0.7119
2.077e-05,0.001892,0.5543
2.534e-06,0.002056,0.8601
1.37e-05,0.001849,0.6203
1.117e-05,0.001794,0.6491
8.389e-06,0.001715,0.6793
1.616e-05,0.002145,0.6023
6.816e-06,0.002334,0.7502
1.2e-05,0.002639,0.6734
7.066e-06,0.002199,0.7222
3.818e-06,0.001902,0.7991
4.197e-06,0.001801,0.7647
3.429e-06,0.00186,0.813
8.703e-06,0.001615,0.6594
1.141e-05,0.002671,0.6742
6.151e-06,0.002036,0.7324
1.196e-05,0.001997,0.6478
1.68e-05,0.002131,0.6026
2.468e-05,0.001774,0.5375
9.285e-06,0.001968,0.6697
5.997e-06,0.002391,0.7699
7.745e-06,0.002003,0.7073
1.42e-05,0.002673,0.6515
4.929e-06,0.00237,0.7836
9.398e-06,0.002141,0.6914
9.029e-06,0.002532,0.7164
6.653e-06,0.002234,0.7419
9.23e-06,0.002204,0.6817
1.091e-05,0.002638,0.6864
4.251e-06,0.002328,0.8114
5.519e-06,0.001859,0.7428
9.144e-06,0.002059,0.6769
8.688e-06,0.001896,0.6636
1.426e-05,0.002374,0.6404
1.685e-05,0.002475,0.6089
6.235e-06,0.001998,0.7405
6.66e-06,0.001975,0.7297
7.242e-06,0.002065,0.7147
1.018e-05,0.001845,0.656
1.421e-05,0.002328,0.6379
7.271e-06,0.002128,0.7204
2.22e-05,0.002062,0.5513
2.827e-06,0.001963,0.8426
1.358e-05,0.002085,0.6314
1.034e-05,0.002194,0.6898
1.886e-05,0.002013,0.579
9.364e-06,0.002428,0.6907
2.998e-06,0.002299,0.8482
3.347e-06,0.00225,0.8359
8.15e-06,0.002248,0.7177
1.887e-05,0.002275,0.5884
1.187e-05,0.001719,0.6333
1.77e-05,0.002564,0.6127
6.393e-06,0.002255,0.7456
4.572e-06,0.002184,0.7991
4.794e-06,0.00235,0.7967
2.208e-05,0.001833,0.5504
1.076e-05,0.001771,0.6501
