Kon (pM^-n)*s^-1,Koff (s^-1),n
8.481e-06,0.0002538,1.055
1.234e-05,0.0002613,0.9883
1.005e-05,0.0002297,1.013
8.197e-06,0.0002386,1.067
1.138e-05,0.0002377,1.002
1.086e-05,0.0002792,1.008
8.08e-06,0.0002461,1.064
9.597e-06,0.0002595,1.027
1.177e-05,0.0002491,0.9887
9.555e-06,0.0002355,1.039
8.134e-06,0.0002459,1.073
9.057e-06,0.0002467,1.041
8.778e-06,0.0002798,1.064
1.087e-05,0.0002394,1.01
1.171e-05,0.0002405,0.9999
8.693e-06,0.0002393,1.044
9.968e-06,0.0002634,1.015
1.025e-05,0.0002486,1.022
1.228e-05,0.0002767,0.9866
8.861e-06,0.0002473,1.05
1.178e-05,0.0002587,0.9983
1.127e-05,0.0002551,1.007
1.057e-05,0.0002629,1.013
1.192e-05,0.0002456,0.9955
6.962e-06,0.0002351,1.087
1.123e-05,0.0002411,1.012
8.672e-06,0.0002498,1.056
1.157e-05,0.0002473,1.006
8.812e-06,0.0002398,1.048
1.021e-05,0.000255,1.003
1.05e-05,0.0002427,1.007
1.086e-05,0.0002349,1.012
1.032e-05,0.0002734,1.015
1.055e-05,0.0002642,1.01
1.106e-05,0.0002496,1.001
7.712e-06,0.000246,1.064
1.126e-05,0.0002514,1.005
1.044e-05,0.0002396,1.022
9.202e-06,0.0002462,1.037
7.966e-06,0.0002491,1.065
9.862e-06,0.0002428,1.032
9.713e-06,0.0002531,1.031
1.142e-05,0.0002587,1.003
1.157e-05,0.000248,0.9959
7.779e-06,0.00023,1.077
9.422e-06,0.0002573,1.032
1.211e-05,0.0002302,0.993
7.208e-06,0.0002442,1.074
7.831e-06,0.0002357,1.064
1.411e-05,0.0002585,0.9507
6.199e-06,0.0002245,1.107
9.279e-06,0.000233,1.028
1.025e-05,0.000235,1.026
1.079e-05,0.0002434,1.006
1.059e-05,0.0002408,1.024
1.066e-05,0.0002491,1.006
1.015e-05,0.0002486,1.024
1.244e-05,0.000263,0.9939
9.434e-06,0.000259,1.043
7.188e-06,0.0002375,1.081
8.895e-06,0.0002339,1.045
1.16e-05,0.0002429,0.9966
1.026e-05,0.0002518,1.02
1.268e-05,0.000253,0.9938
9.8e-06,0.0002589,1.035
1.237e-05,0.0002329,0.9806
8.218e-06,0.0002675,1.062
7.614e-06,0.0002334,1.068
1.189e-05,0.000245,1.001
7.261e-06,0.0002616,1.088
8.372e-06,0.0002639,1.052
9.011e-06,0.0002266,1.039
1.134e-05,0.0002631,1.003
1.126e-05,0.0002487,1.007
8.176e-06,0.0002569,1.058
1.347e-05,0.0002652,0.9781
8.92e-06,0.0002576,1.047
8.99e-06,0.0002316,1.045
9.015e-06,0.0002412,1.051
9.765e-06,0.0002314,1.025
9.88e-06,0.0002374,1.028
1.226e-05,0.0002502,0.9877
1.348e-05,0.0002434,0.96
7.633e-06,0.0002443,1.084
1.158e-05,0.000245,1.005
7.141e-06,0.000225,1.08
8.956e-06,0.0002461,1.044
9.095e-06,0.0002431,1.038
1.106e-05,0.0002507,1.012
9.834e-06,0.0002494,1.03
8.79e-06,0.0002436,1.046
1.008e-05,0.0002409,1.026
1.124e-05,0.0002268,1.011
1.049e-05,0.0002645,1.012
8.344e-06,0.000219,1.051
8.408e-06,0.0002605,1.06
7.654e-06,0.0002374,1.068
9.322e-06,0.0002257,1.032
9.913e-06,0.0002532,1.027
6.784e-06,0.0002382,1.082
8.846e-06,0.0002474,1.043
8.029e-06,0.0002375,1.056
1.071e-05,0.0002483,1.035
9.554e-06,0.0002384,1.027
1.224e-05,0.0002589,0.992
1.068e-05,0.0002553,1.013
9.924e-06,0.0002296,1.029
1.218e-05,0.0002365,0.9944
1.061e-05,0.0002502,1.016
9.817e-06,0.0002358,1.028
7.321e-06,0.0002515,1.081
1.216e-05,0.0002422,0.9919
7.222e-06,0.000248,1.076
1.092e-05,0.000261,1.013
9.536e-06,0.0002583,1.025
1.177e-05,0.0002483,0.993
1.023e-05,0.0002557,1.027
1.154e-05,0.0002472,0.998
9.75e-06,0.0002544,1.022
1.221e-05,0.0002444,0.9924
1.125e-05,0.0002507,0.9959
1.037e-05,0.0002388,1.02
9.959e-06,0.000232,1.026
1.069e-05,0.0002549,1.015
9.731e-06,0.0002378,1.021
9.519e-06,0.0002501,1.021
8.551e-06,0.0002423,1.038
1.293e-05,0.0002529,0.983
9.989e-06,0.0002543,1.029
8.975e-06,0.0002668,1.039
1.521e-05,0.0002469,0.9557
1.025e-05,0.0002356,1.02
1.117e-05,0.0002389,1.006
9.946e-06,0.0002524,1.042
8.156e-06,0.0002453,1.057
9.909e-06,0.0002512,1.029
9.345e-06,0.0002402,1.047
1.123e-05,0.0002525,1.012
9.008e-06,0.0002287,1.042
9.754e-06,0.0002479,1.019
9.988e-06,0.0002358,1.026
7.308e-06,0.000265,1.085
1.311e-05,0.0002499,0.9795
8.054e-06,0.0002265,1.064
9.216e-06,0.0002287,1.028
1.269e-05,0.0002644,0.9863
8.991e-06,0.0002366,1.041
